
=== WORLDWIDE RACE GRID ===
Post (ET)  | Field | Dist (mi)  | Purse  | ML (1/2)   | Location                  | D | R#
   19:54    | 13    | 0.688      | 134K   | 3.5, 5.5   | Churchill Downs           | T | 7
   19:54    | 10    | 0.170      | 17K    | ?          | Remington Park            | T | 3
   19:56    | 10    | 0.188      | 10K    | ?          | Sam Houston               | T | 2
   19:57    | 8     | 0.562      | 24K    | 1.8, 4.5   | Charles Town              | T | 3
   20:03    | 8     | 0.625      | 11K    | ?          | Evangeline                | T | 5
   20:05    | 9     | 0.170      | 14K    | ?          | Delta Downs               | T | 3
   20:10    | 5     | 0.750      | 14K    | ?          | Penn National             | T | 6
   20:20    | 8     | 0.750      | 22K    | 3.0, 4.0   | Thistledown               | T | 8
   20:23    | 11    | 0.875      | 57K    | ?          | Churchill Downs           | T | 8
   20:25    | 9     | 0.812      | 34K    | ?          | Charles Town              | T | 4
   20:30    | 8     | 0.312      | 27K    | ?          | Delta Downs               | T | 4
   20:39    | 7     | 0.750      | 16K    | ?          | Penn National             | T | 7
   20:53    | 10    | 0.812      | 13K    | ?          | Charles Town              | T | 5
   20:55    | 10    | 0.227      | 14K    | ?          | Delta Downs               | T | 5
   21:16    | 7     | 0.625      | 22K    | 4.0, 4.5   | Horseshoe Indianapolis    | T | 7
   21:21    | 9     | 0.875      | 13K    | ?          | Charles Town              | T | 6
   21:24    | 9     | 0.625      | 11K    | ?          | Evangeline                | T | 8
   21:45    | 9     | 0.312      | 13K    | ?          | Delta Downs               | T | 7
   22:10    | 6     | 0.750      | 9K     | 3.5, 4.0   | Hawthorne                 | T | 6
   22:45    | 10    | 0.562      | 20K    | ?          | Charles Town              | T | 9
   23:57    | 8     | 0.170      | 45K    | ?          | Remington Park            | T | 12

=== CONCENTRATED GRID (Field < 7) ===
Post (ET)  | Field | Dist (mi)  | Purse  | ML (1/2)   | Location                  | D | R#
------------------------------------------------------------------------------------------
   12:35    | 5     | 1.040      | 8K     | ?          | Belterra Park             | T | 1
   12:52    | 6     | 1.040      | 16K    | 2.0, 2.8   | Delaware                  | T | 2
   13:05    | 5     | 0.688      | 8K     | ?          | Belterra Park             | T | 2
   13:20    | 5     | 0.750      | 21K    | 2.8, 3.0   | Thistledown               | T | 2
   13:25    | 5     | 2.062      | 3K     | 3.0, 3.75  | Worcester                 | T | 1
   14:20    | 5     | 1.000      | 14K    | 2.6, 3.0   | Thistledown               | T | 4
   14:23    | 5     | 0.877      | 7K     | 2.1, 4.0   | Great Yarmouth            | T | 3
   14:30    | 6     | 2.000      | 5K     | 1.4, 5.0   | Worcester                 | T | 3
   14:41    | 6     | 0.688      | 18K    | 2.6, 3.5   | Horseshoe Indianapolis    | T | 2
   14:50    | 6     | 1.000      | 38K    | 3.0, 3.5   | Thistledown               | T | 5
