PostTime     | Field | Distance        | Purse           | Location
See Guide    | ?     | ?               | ?               | Launceston (Australia)
See Guide    | ?     | ?               | ?               | Cranbourne (Australia)
See Guide    | ?     | ?               | ?               | Sirinyer (Turkey)
See Guide    | ?     | ?               | ?               | Bordeaux (France)
See Guide    | ?     | ?               | ?               | Compiegne (France)
See Guide    | ?     | ?               | ?               | Fairview Aw (South Africa)
See Guide    | ?     | ?               | ?               | Chelmsford (United Kingdom)
See Guide    | ?     | ?               | ?               | Wingatui (New Zealand)
See Guide    | ?     | ?               | ?               | Busan (South Korea)
See Guide    | ?     | ?               | ?               | Ohi (Japan)
See Guide    | ?     | ?               | ?               | Riverina Paceway (Australia)
See Guide    | ?     | ?               | ?               | Bathurst (Australia)
See Guide    | ?     | ?               | ?               | Mildura (Australia)
See Guide    | ?     | ?               | ?               | Terang (Australia)
See Guide    | ?     | ?               | ?               | Menangle (Australia)
See Guide    | ?     | ?               | ?               | Albion Park (Australia)
See Guide    | ?     | ?               | ?               | Gloucester Park (Australia)
See Guide    | ?     | ?               | ?               | Wagin (Australia)
See Guide    | ?     | ?               | ?               | Marseille-Borely (France)
See Guide    | ?     | ?               | ?               | Alexandra Park (New Zealand)
See Guide    | ?     | ?               | ?               | Addington (New Zealand)
See Guide    | ?     | ?               | ?               | Healesville (Australia)
See Guide    | ?     | ?               | ?               | Murray Bridge (Australia)
See Guide    | ?     | ?               | ?               | Goulburn (Australia)
See Guide    | ?     | ?               | ?               | Townsville (Australia)
See Guide    | ?     | ?               | ?               | Q Lakeside (Australia)
See Guide    | ?     | ?               | ?               | Warragul (Australia)
See Guide    | ?     | ?               | ?               | The Gardens (Australia)
See Guide    | ?     | ?               | ?               | Broken Hill (Australia)
See Guide    | ?     | ?               | ?               | Geelong (Australia)
See Guide    | ?     | ?               | ?               | Bendigo (Australia)
See Guide    | ?     | ?               | ?               | Wagga (Australia)
See Guide    | ?     | ?               | ?               | Mandurah (Australia)
See Guide    | ?     | ?               | ?               | Waterford (Ireland)
See Guide    | ?     | ?               | ?               | Limerick (Ireland)
See Guide    | ?     | ?               | ?               | Galway (Ireland)
See Guide    | ?     | ?               | ?               | Enniscorthy (Ireland)
See Guide    | ?     | ?               | ?               | Mullingar (Ireland)
See Guide    | ?     | ?               | ?               | Dunstall Park (United Kingdom)
See Guide    | ?     | ?               | ?               | Addington (New Zealand)
See Guide    | ?     | ?               | ?               | Manawatu (New Zealand)
