PostTime (ET)  | Field | Distance        | Location                       | D | Race#
  00:00        | ?     | ?               | Gloucester Park                | H | 4
  00:00        | ?     | ?               | Gloucester Park                | H | 5
  00:00        | ?     | ?               | Gloucester Park                | H | 6
  00:00        | ?     | ?               | Gloucester Park                | H | 7
  00:00        | ?     | ?               | Gosford                        | G | 1
  00:00        | ?     | ?               | Gosford                        | G | 2
  00:00        | ?     | ?               | Gosford                        | G | 3
  00:00        | ?     | ?               | Gosford                        | G | 4
  00:00        | ?     | ?               | Gosford                        | G | 5
  00:00        | ?     | ?               | Gosford                        | G | 6
  00:00        | ?     | ?               | Gosford                        | G | 7
  00:00        | ?     | ?               | Gosford                        | G | 8
  00:00        | ?     | ?               | Gosford                        | G | 9
  00:00        | ?     | ?               | Gosford                        | G | 10
  00:00        | ?     | ?               | Gosford                        | G | 11
  00:00        | ?     | ?               | Gosford                        | G | 12
  00:00        | ?     | ?               | Junee                          | H | 1
  00:00        | ?     | ?               | Junee                          | H | 2
  00:00        | ?     | ?               | Junee                          | H | 3
  00:00        | ?     | ?               | Junee                          | H | 4
  00:00        | ?     | ?               | Junee                          | H | 5
  00:00        | ?     | ?               | Junee                          | H | 6
  00:00        | ?     | ?               | Junee                          | H | 7
  00:00        | ?     | ?               | Junee                          | H | 8
  00:00        | ?     | ?               | Junee                          | H | 9
  00:00        | ?     | ?               | Kilmore                        | T | 1
  00:00        | ?     | ?               | Kilmore                        | T | 2
  00:00        | ?     | ?               | Kilmore                        | T | 3
  00:00        | ?     | ?               | Kilmore                        | T | 4
  00:00        | ?     | ?               | Kilmore                        | T | 5
  00:00        | ?     | ?               | Kilmore                        | T | 6
  00:00        | ?     | ?               | Kilmore                        | T | 7
  00:00        | ?     | ?               | Kilmore                        | T | 8
  00:00        | ?     | ?               | Manawatu                       | H | 1
  00:00        | ?     | ?               | Manawatu                       | H | 2
  00:00        | ?     | ?               | Manawatu                       | H | 3
  00:00        | ?     | ?               | Manawatu                       | H | 4
  00:00        | ?     | ?               | Manawatu                       | H | 5
  00:00        | ?     | ?               | Manawatu                       | H | 6
  00:00        | ?     | ?               | Mandurah                       | G | 1
  00:00        | ?     | ?               | Mandurah                       | G | 2
  00:00        | ?     | ?               | Mandurah                       | G | 3
  00:00        | ?     | ?               | Mandurah                       | G | 4
  00:00        | ?     | ?               | Mandurah                       | G | 5
  00:00        | ?     | ?               | Mandurah                       | G | 6
  00:00        | ?     | ?               | Mandurah                       | G | 7
  00:00        | ?     | ?               | Mandurah                       | G | 8
  00:00        | ?     | ?               | Mandurah                       | G | 9
  00:00        | ?     | ?               | Menangle                       | H | 1
  00:00        | ?     | ?               | Menangle                       | H | 2
  00:00        | ?     | ?               | Menangle                       | H | 3
  00:00        | ?     | ?               | Menangle                       | H | 4
  00:00        | ?     | ?               | Menangle                       | H | 5
  00:00        | ?     | ?               | Menangle                       | H | 6
  00:00        | ?     | ?               | Menangle                       | H | 7
  00:00        | ?     | ?               | Menangle                       | H | 8
  00:00        | ?     | ?               | Monmore                        | G | 1
  00:00        | ?     | ?               | Newcastle                      | G | 8
  00:00        | ?     | ?               | Newcastle                      | G | 9
  00:00        | ?     | ?               | Oxford                         | G | 1
  00:00        | ?     | ?               | Port Pirie                     | H | 1
  00:00        | ?     | ?               | Port Pirie                     | H | 2
  00:00        | ?     | ?               | Port Pirie                     | H | 3
  00:00        | ?     | ?               | Port Pirie                     | H | 4
  00:00        | ?     | ?               | Port Pirie                     | H | 5
  00:00        | ?     | ?               | Q Lakeside                     | G | 1
  00:00        | ?     | ?               | Q Lakeside                     | G | 2
  00:00        | ?     | ?               | Q Lakeside                     | G | 3
  00:00        | ?     | ?               | Q Lakeside                     | G | 4
  00:00        | ?     | ?               | Q Lakeside                     | G | 5
  00:00        | ?     | ?               | Q Lakeside                     | G | 6
  00:00        | ?     | ?               | Q Lakeside                     | G | 7
  00:00        | ?     | ?               | Q Lakeside                     | G | 8
  00:00        | ?     | ?               | Q Lakeside                     | G | 9
  00:00        | ?     | ?               | Q Lakeside                     | G | 10
  00:00        | ?     | ?               | Q Lakeside                     | G | 11
  00:00        | ?     | ?               | Q Lakeside                     | G | 12
  00:00        | ?     | ?               | Q Lakeside                     | G | 13
  00:00        | ?     | ?               | Romford                        | G | 1
  00:00        | ?     | ?               | Sheffield                      | G | 1
  00:00        | ?     | ?               | Sheffield                      | G | 2
  00:00        | ?     | ?               | Sheffield                      | G | 3
  00:00        | ?     | ?               | Sheffield                      | G | 4
  00:00        | ?     | ?               | Sheffield                      | G | 5
  00:00        | ?     | ?               | Sheffield                      | G | 6
  00:00        | ?     | ?               | Sheffield                      | G | 7
  00:00        | ?     | ?               | Sheffield                      | G | 8
  00:00        | ?     | ?               | Sheffield                      | G | 9
  00:00        | ?     | ?               | Sheffield                      | G | 10
  00:00        | ?     | ?               | Shelbourne Park                | G | 1
  00:00        | ?     | ?               | Star Pelaw                     | G | 1
  00:00        | ?     | ?               | Suffolk Downs                  | G | 1
